common_name,canonical_name,scientific_name,group,file,transparent_file,public_path
红绿灯,Paracheirodon innesi,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_01_红绿灯__Paracheirodon_innesi.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_01_红绿灯_Paracheirodon_innesi.png,/species-transparent/batch_001_species_sheet_01_红绿灯_Paracheirodon_innesi.png?v=cutfix4_20260510
宝莲灯,Paracheirodon axelrodi,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_02_宝莲灯__Paracheirodon_axelrodi.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_02_宝莲灯_Paracheirodon_axelrodi.png,/species-transparent/batch_001_species_sheet_02_宝莲灯_Paracheirodon_axelrodi.png?v=cutfix4_20260510
红鼻剪刀,Hemigrammus rhodostomus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_03_红鼻剪刀__Hemigrammus_rhodostomus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_03_红鼻剪刀_Hemigrammus_rhodostomus.png,/species-transparent/batch_001_species_sheet_03_红鼻剪刀_Hemigrammus_rhodostomus.png?v=cutfix4_20260510
白云金丝,Tanichthys albonubes,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_04_白云金丝__Tanichthys_albonubes.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_04_白云金丝_Tanichthys_albonubes.png,/species-transparent/batch_001_species_sheet_04_白云金丝_Tanichthys_albonubes.png?v=cutfix4_20260510
斑马鱼,Danio rerio,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_05_斑马鱼__Danio_rerio.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_05_斑马鱼_Danio_rerio.png,/species-transparent/batch_001_species_sheet_05_斑马鱼_Danio_rerio.png?v=cutfix4_20260510
孔雀鱼,Poecilia reticulata,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_06_孔雀鱼__Poecilia_reticulata.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_06_孔雀鱼_Poecilia_reticulata.png,/species-transparent/batch_001_species_sheet_06_孔雀鱼_Poecilia_reticulata.png?v=cutfix4_20260510
玛丽鱼,Poecilia sphenops,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_07_玛丽鱼__Poecilia_sphenops.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_07_玛丽鱼_Poecilia_sphenops.png,/species-transparent/batch_001_species_sheet_07_玛丽鱼_Poecilia_sphenops.png?v=cutfix4_20260510
红剑鱼,Xiphophorus hellerii,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_08_红剑鱼__Xiphophorus_hellerii.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_08_红剑鱼_Xiphophorus_hellerii.png,/species-transparent/batch_001_species_sheet_08_红剑鱼_Xiphophorus_hellerii.png?v=cutfix4_20260510
熊猫鼠,Corydoras panda,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_09_熊猫鼠__Corydoras_panda.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_09_熊猫鼠_Corydoras_panda.png,/species-transparent/batch_001_species_sheet_09_熊猫鼠_Corydoras_panda.png?v=cutfix4_20260510
神仙鱼,Pterophyllum scalare,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_001_species_sheet_10_神仙鱼__Pterophyllum_scalare.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_001_species_sheet_10_神仙鱼_Pterophyllum_scalare.png,/species-transparent/batch_001_species_sheet_10_神仙鱼_Pterophyllum_scalare.png?v=cutfix4_20260510
黑裙鱼,Gymnocorymbus ternetzi,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_002_species_sheet_01_黑裙鱼__Gymnocorymbus_ternetzi.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_01_黑裙鱼_Gymnocorymbus_ternetzi.png,/species-transparent/batch_002_species_sheet_01_黑裙鱼_Gymnocorymbus_ternetzi.png?v=cutfix4_20260510
月光鱼,Xiphophorus maculatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_002_species_sheet_02_月光鱼__Xiphophorus_maculatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_02_月光鱼_Xiphophorus_maculatus.png,/species-transparent/batch_002_species_sheet_02_月光鱼_Xiphophorus_maculatus.png?v=cutfix4_20260510
虎皮鱼,Puntigrus tetrazona,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_002_species_sheet_03_虎皮鱼__Puntigrus_tetrazona.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_03_虎皮鱼_Puntigrus_tetrazona.png,/species-transparent/batch_002_species_sheet_03_虎皮鱼_Puntigrus_tetrazona.png?v=cutfix4_20260510
一眉道人,Sahyadria denisonii,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_002_species_sheet_04_一眉道人__Sahyadria_denisonii.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_04_一眉道人_Sahyadria_denisonii.png,/species-transparent/batch_002_species_sheet_04_一眉道人_Sahyadria_denisonii.png?v=cutfix4_20260510
樱桃灯,Puntius titteya,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_002_species_sheet_05_樱桃灯__Puntius_titteya.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_05_樱桃灯_Puntius_titteya.png,/species-transparent/batch_002_species_sheet_05_樱桃灯_Puntius_titteya.png?v=cutfix4_20260510
金苔鼠,Gyrinocheilus aymonieri,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_002_species_sheet_06_金苔鼠__Gyrinocheilus_aymonieri.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_06_金苔鼠_Gyrinocheilus_aymonieri.png,/species-transparent/batch_002_species_sheet_06_金苔鼠_Gyrinocheilus_aymonieri.png?v=cutfix4_20260510
小精灵,Otocinclus vittatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_002_species_sheet_07_小精灵__Otocinclus_vittatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_07_小精灵_Otocinclus_vittatus.png,/species-transparent/batch_002_species_sheet_07_小精灵_Otocinclus_vittatus.png?v=cutfix4_20260510
